"","en","zh-CN","de","es","fr","ja","pl","ru"
"ACTOR_BASE_COMMANDER","Base Commander","Base Commander","Base Commander","Comandante de Base","Base Commander","Base Commander","Dowódca obrony","Base Commander"
"ACTOR_FREEDOM_FIGHTER","Freedom Fighter","Freedom Fighter","Freedom Fighter","Luchador por la Libertad","Freedom Fighter","Freedom Fighter","Bojownik","Freedom Fighter"
"ACTOR_GUARD","Guard","Guard","Guard","Guardia","Guard","Guard","Strażnik","Guard"
"ACTOR_MILITIA_OFFICER","Militia Officer","Militia Officer","Militia Officer","Oficial de Milicia","Militia Officer","Militia Officer","Oficer Milicji","Militia Officer"
"ACTOR_OFFICER","Officer","军官","Officer","Oficial","Officer","Officer","Oficer","Officer"
"ACTOR_OPERATOR","Operator","Operator","Operator","Operador","Operator","Operator","Operator","Operator"
"ACTOR_PALACE_GUARD","Palace Guard","Palace Guard","Palace Guard","Guardia del Palacio","Palace Guard","Palace Guard","Strażnik Pałacu","Palace Guard"
"ACTOR_PILOT","Pilot","Pilot","Pilot","Piloto","Pilot","Pilot","Pilot","Pilot"
"ACTOR_SCOUT","Scout","Scout","Scout","Scout","Scout","Scout","Zwiadowca","Scout"
"ACTOR_SOLDIER","Soldier","Soldier","Soldier","Soldado","Soldier","Soldier","Żołnierz","Soldier"
"ACTOR_TANK_COMMANDER","Tank commander","Tank commander","Tank commander","Comandante del tanque","Tank commander","Tank commander","Dowódca czołgu","Tank commander"
"ACTOR_TANK_CREW","Tank crew","Tank crew","Tank crew","Tripulación del tanque","Tank crew","Tank crew","Załoga czołgu","Tank crew"
