,de
ACTOR_OFFICER,"Officer"
ACTOR_FREEDOM_FIGHTER,"Freedom Fighter"
ACTOR_PALACE_GUARD,"Palace Guard"
ACTOR_MILITIA_OFFICER,"Militia Officer"
MISSION_TITLE_MAYDAY_SQUARE,"MayDay Square"
MISSION_DESR_MAYDAY_SQUARE,"After days of protests, we finally say enough is enough. Corruption and abuse must stop! Protesters of MayDay Square are ready to fight! Take command of the freedom fighters and assault the Presidental Palace."
MISSION_1_OFFICER_INTRO,"Sir! We are ready to begin the assault on the Presidental Palace! Our troops are awaiting your orders."
MISSION_1_OFFICER_OBJECTIVE,"This is the enemy HQ. We need to bring our soldiers there and capture it. Without central command, military forces guarding the Palace will disperse."
MISSION_1_OFFICER_TOWER_1,"We should also claim as many communication towers as possible to gain more resources for our operations. Those are crucial, as we need to pay for the deployment of new units, and movement of those already in the field."
MISSION_1_OFFICER_TOWER_2,"Our enemy is already capturing nearby towers, we need to hurry and take them back to gain advantage!"
MISSION_1_SOLDIER_SHOUT,"You are outnumbered! Stand down and let us get that corrupted bastard!"
MISSION_1_OFFICER_ORDER,"Fall back soldier!"
MISSION_1_GUARD,"Rebel scum!"
MISSION_1_OFFICER_COMMAND,"Sir! Our forces are on the edge, we need you to take command!"
MISSION_1_OFFICER_NEARBY,"Palace defence HQ is close. Let's take it!"
MISSION_1_OFFICER_DEFEND,"Sir! Enemy forces are getting dangerously close to our HQ! We should drive them back, otherwise we risk loosing this battle!"
MISSION_1_OFFICER_DEPLOY,"Our forces have taken significant losses. We should deploy more soldiers from our HQ."
MISSION_TITLE_EASTERN_CITY,"Eastern city"
MISSION_DESR_EASTERN_CITY,"Even though the events of MayDay Square allowed for a relatively peaceful change of government, there is still a lot of tension. We have reports of a group of militants loyal to the old president. Find and capture their center of operations before their actions cause civil war."
MISSION_2_OFFICER_INTRO,"Sir, recently we've been getting reports of increased militia activity in this region. We suspect there might be an organized command centre nearby. We should investigate."
