,en
MISSION_TITLE_MAYDAY_SQUARE,"MayDay Square"
MISSION_DESR_MAYDAY_SQUARE,"After days of protests, we finally say enough is enough. Corruption and abuse has to stop! Protesters of Mayday Square are ready to fight! Take command of the freedom fighters and assault Presidental Palace."
MISSION_TITLE_EASTERN_CITY,"Eastern city"
MISSION_DESR_EASTERN_CITY,"Even though the events of Mayday Square allowed for relatively peacefull change of government, there is still a lot of tension. We have reports of a group of militiants loyal to the old president. Find and capture their center of operations before their actions cause civil war."
MISSION_TITLE_RIOTS,"Riots"
MISSION_DESR_RIOTS,"Current government came to power by attacking our dear leader! And they dare to call us the rebels! New authorities are still weak. We should use this opportunity to take over key administration offices. Our forces are standing by and awaiting your orders!"
MISSION_TITLE_BASE_ASSAULT,"Base Assault"
MISSION_DESR_BASE_ASSAULT,"Our recent victory gave us a foothold, but we can not stop there. Nearby military base has a lot of equipment we could use! We have to attack before they realise, that they are no longer in control of this region."
MISSION_TITLE_PENINSULA,"Peninsula"
MISSION_DESR_PENINSULA,"Days of fighting are finnally paying off. Now we have the support of our strong neighbouring country. We are ready to push the usurpers out of the peninsula. When we succeed, there will be no way for them to re-take it. This will be our great victory!"
MISSION_TITLE_RECAPTURE,"Recapture"
MISSION_DESR_RECAPTURE,"Situation is deteriorating quickly. We have to start pushing back, or we will loose all of our progress in this conflict. We are ready to liberate the city, where the rebels began their operations. Let us show them, and the people, that simple bandits are no match for our military."
MISSION_TITLE_BASE_DEFENCE,"Base Defence"
MISSION_DESR_BASE_DEFENCE,"Alert! Rebels are attacking one of our military bases in the eastern region! We must not allow them to capture any more of our assets. Defend the base and destroy the rebel forces in the region."
MISSION_TITLE_AIRPORT_PT_1,"Airport Pt.1"
MISSION_DESR_AIRPORT_PT_1,"Fighting between our militia and the government forces is not going as good as we would hope. We need to show the world, that we are not giving up just yet. Nearby airport is not of huge strategic importance, but capturing it will be our manifestation of power!"
MISSION_TITLE_AIRPLANE,"Airplane"
MISSION_DESR_AIRPLANE,"Thanks to the airport equipment, we have intercepted a transmission about an important military airplane, that will be flying over the area. We have identified the perfect spot to launch missiles from, but it is guarded by the enemy. Muster your forces and get into position to shoot down the transport."
MISSION_TITLE_FIELD_COMMAND,"Field Command"
MISSION_DESR_FIELD_COMMAND,"These separatists just shot down a civilian airplane, hundreds of people died. Their violence has to stop! Our scouts have found the enemy field command center for this region. Our resources are limited, but we should be able to gather more men and tanks in the nearby city."
MISSION_TITLE_AIRPORT_PT_2,"Airport Pt.2"
MISSION_DESR_AIRPORT_PT_2,"The rebel forces have scattered after loosing their local HQ. The Airport is still heavily guarded, but they will not recieve any new reinforcements anytime soon. Recon team managed to set up a small base. We have to attack before they can pick themselves up."
MISSION_TITLE_CONVOY,"Convoy"
MISSION_DESR_CONVOY,"In this time of war many people are suffering. Our kind neighbour offered to send us humanitarian convoy with food, water and medicine. Government does not believe in our good intentions, not allowing the trucks to pass. We have to clear the way!"
MISSION_TITLE_CRASH_SITE,"Crash Site"
MISSION_DESR_CRASH_SITE,"The Plane we attacked went down deep within the forest. We must not allow anyone to reach the crash site. Without the wreckage, no one will be able to proove who and how destroyed it. International investigators are on their way, we have to stop them."
MISSION_TITLE_AIRPORT_PT_3,"Airport Pt.3"
MISSION_DESR_AIRPORT_PT_3,"It has been months since we started fighting over this wretched airport. It is hardly an airport anymore either, with everything reduced to rubble - the terminal, the tower, surrounding city. Even so, it is still a symbol of who has the upper hand here, and it should be ours!"
