,es
ACTOR_OFFICER,"Oficial"
ACTOR_FREEDOM_FIGHTER,"Luchador por la Libertad"
ACTOR_PALACE_GUARD,"Guardia del Palacio"
ACTOR_MILITIA_OFFICER,"Oficial de Milicia"
ACTOR_BASE_COMMANDER,"Comandante de Base"
ACTOR_GUARD,"Guardia"
ACTOR_PILOT,"Piloto"
ACTOR_SOLDIER,"Soldado"
ACTOR_TANK_CREW,"Tripulación del tanque"
ACTOR_OPERATOR,"Operador"
ACTOR_TANK_COMMANDER,"Comandante del tanque"
ACTOR_SCOUT,"Scout"
MISSION_TITLE_MAYDAY_SQUARE,"Plaza MayDay"
MISSION_DESR_MAYDAY_SQUARE,"Después de días de protestas, finalmente decimos que ya es suficiente. ¡La corrupción y el abuso deben detenerse! ¡Los manifestantes de la Plaza MayDay están listos para luchar! Toma el mando de los luchadores por la libertad y asalta el Palacio Presidencial."
MISSION_1_OFFICER_INTRO,"¡Señor! ¡Estamos listos para empezar el asalto al Palacio Presidencial! Nuestras tropas están esperando tus órdenes."
MISSION_1_OFFICER_OBJECTIVE,"Este es el Cuartel General enemigo. Necesitamos llevar a nuestros soldados allí y capturarlo. Sin una comandancia central, las fuerzas militares que custodian el Palacio se dispersarán."
MISSION_1_OFFICER_TOWER_1,"También deberíamos reclamar tantas torres de comunicación como sea posible para obtener más recursos para nuestras operaciones. Son cruciales, ya que tenemos que pagar el despliegue de nuevas unidades y el movimiento de aquellas que ya están en el campo."
MISSION_1_OFFICER_TOWER_2,"Nuestro enemigo está capturando torres cercanas, ¡necesitamos darnos prisa y recuperarlas para obtener ventaja!"
MISSION_1_SOLDIER_SHOUT,"¡Estais en inferioridad numérica! ¡Alejaos y dejadnos atrapar a ese bastardo corrupto!"
MISSION_1_OFFICER_ORDER,"¡Atrás soldado!"
MISSION_1_GUARD,"¡Escoria rebelde!"
MISSION_1_OFFICER_COMMAND,"¡Señor! Nuestras fuerzas están al límite, ¡necesitamos que tomes el mando!"
MISSION_1_OFFICER_NEARBY,"La defensa de Palacio está cerca. ¡Vamos a tomarlo!"
MISSION_1_OFFICER_DEFEND,"¡Señor! ¡Las fuerzas enemigas se están acercando peligrosamente a nuestro Cuartel General! ¡Debemos rechazarlos, de lo contrario corremos el riesgo de perder esta batalla!"
MISSION_1_OFFICER_DEPLOY,"Nuestras fuerzas han sufrido pérdidas significativas. Deberíamos desplegar más soldados desde nuestro Cuartel General"
MISSION_TITLE_EASTERN_CITY,"Eastern city"
MISSION_DESR_EASTERN_CITY,"Aunque los eventos de la Plaza MayDay permitieron un cambio de gobierno relativamente pacífico, todavía hay mucha tensión. Tenemos informes de un grupo de militantes leales al viejo presidente. Encuentra y captura su centro de operaciones antes de que sus acciones causen una guerra civil."
MISSION_2_OFFICER_INTRO,"Señor, recientemente hemos recibido informes de una mayor actividad de las milicias en esta región. Sospechamos que podría haber un comando organizado cerca. Deberíamos investigar."
MISSION_2_OFFICER_BARRACKS,"Aquí nuestras fuerzas son limitadas. Deberíamos asegurar estos barracones. Este edificio nos permitirá desplegar nuevos soldados a un precio menor."
MISSION_2_OFFICER_TIPOFF,"¡Señor! Acabamos de recibir un aviso de los civiles locales que indican la ubicación del cuartel general de la milicia. Este es nuestro objetivo."
MISSION_2_OFFICER_BARRACKS_CAPTURED_1,"Gran trabajo, Señor."
MISSION_2_OFFICER_BARRACKS_CAPTURED_2,"Ten en cuenta que capturar edificios que no sean torres de comunicación requerirá que nuestro soldado permanezca dentro, así que asegúrate de que siempre tengas suficiente infantería en el campo de batalla."
MISSION_2_OFFICER_BARRACKS_CAPTURED_3,"Había algunos reclutas esperando en el cuartel. Se han unido a nosotros."
MISSION_2_OFFICER_BARRACKS_TIP_1,"Desplegar más unidades te costará recursos, al igual que moverlas. Gastalos sabiamente."
MISSION_2_OFFICER_BARRACKS_TIP_2,"Para desplegar una unidad, el azulejo de despliegue al lado del edificio debe estar libre. Si una de tus unidades ocupa el azulejo, debes moverla primero."
MISSION_2_OFFICER_BARRACKS_TIP_3,"También puedes usarlo como una ventaja. El bloqueo de los azulejos de despliegue junto a los edificios enemigos evitará que desplieguen refuerzos."
MISSION_2_OFFICER_ALARM,"¡Nos encontraron! ¡Da la voz de alarma!"
MISSION_TITLE_RIOTS,"Disturbios"
MISSION_DESR_RIOTS,"¡El actual gobierno llegó al poder atacando a nuestro querido líder! ¡Y se atreven a llamarnos los rebeldes! Las nuevas autoridades aún son débiles. Deberíamos aprovechar esta oportunidad para encargarnos de las oficinas administrativas clave. ¡Nuestras fuerzas están esperando tus ordenes!"
MISSION_3_OFFICER_INTRO_1,"Bienvenido, Comandante. Disculpa por los retrasos."
MISSION_3_OFFICER_INTRO_2,"Finalmente logramos establecer un campamento. No fue fácil reunir tropas después de que perdieramos el control del ejercito."
MISSION_3_OBJECTIVE,"Nuestro objetivo es tomar el Ayuntamiento. Las fuerzas de defensa locales todavía están desorganizadas. Deberíamos usar esa oportunidad.
MISSION_3_TANK_1,"Nuestros militantes lograron robar un tanque de la base militar que hay cerca. No pasará mucho antes de que alguien se dé cuenta."
MISSION_3_TANK_2,"Los tanques son excelentes para tratar con la infantería - este será un activo valioso en esta misión. Aún así, necesitamos más si queremos tener éxito."
MISSION_3_TANK_FACTORY,"Hay una fabrica de tanques cerca. Tómala antes de que el enemigo use esas unidades pesadas para detener nuestro asalto."
MISSION_3_OFFICER_FACTORY_CAP_1,"Gran trabajo, Comandante. Nada nos detendrá ahora."
