,ru
ACTOR_OFFICER,"Officer"
ACTOR_FREEDOM_FIGHTER,"Freedom Fighter"
ACTOR_PALACE_GUARD,"Palace Guard"
ACTOR_MILITIA_OFFICER,"Militia Officer"
ACTOR_BASE_COMMANDER,"Base Commander"
ACTOR_GUARD,"Guard"
ACTOR_PILOT,"Pilot"
ACTOR_SOLDIER,"Soldier"
ACTOR_TANK_CREW,"Tank crew"
ACTOR_OPERATOR,"Operator"
ACTOR_TANK_COMMANDER,"Tank commander"
MISSION_TITLE_MAYDAY_SQUARE,"МэйДэй отряд"
MISSION_DESR_MAYDAY_SQUARE,"После долгих протестов мы окончательно говорим дочтаточно. Коррупция и чистоплюйство должны быть остановлены! Протестующие уже готовы. Возьмите над ними командование и захватите здание президента."
MISSION_1_OFFICER_INTRO,"Sir! We are ready to begin the assault on the Presidental Palace! Our troops are awaiting your orders."
MISSION_1_OFFICER_OBJECTIVE,"This is the enemy HQ. We need to bring our soldiers there and capture it. Without central command, military forces guarding the Palace will disperse."
MISSION_1_OFFICER_TOWER_1,"We should also claim as many communication towers as possible to gain more resources for our operations. Those are crucial, as we need to pay for the deployment of new units, and movement of those already in the field."
MISSION_1_OFFICER_TOWER_2,"Our enemy is already capturing nearby towers, we need to hurry and take them back to gain advantage!"
MISSION_1_SOLDIER_SHOUT,"You are outnumbered! Stand down and let us get that corrupted bastard!"
MISSION_1_OFFICER_ORDER,"Fall back soldier!"
MISSION_1_GUARD,"Rebel scum!"
MISSION_1_OFFICER_COMMAND,"Sir! Our forces are on the edge, we need you to take command!"
MISSION_1_OFFICER_NEARBY,"Palace defence HQ is close. Let's take it!"
MISSION_1_OFFICER_DEFEND,"Sir! Enemy forces are getting dangerously close to our HQ! We should drive them back, otherwise we risk loosing this battle!"
MISSION_1_OFFICER_DEPLOY,"Our forces have taken significant losses. We should deploy more soldiers from our HQ."
MISSION_TITLE_EASTERN_CITY,"Город на востоке"
