,es
TIP_HEADER,"Sabías que..."
TIP_1,"Cada unidad puede atacar solo una vez por turno"
TIP_2,"Las unidades tienen debilidades y ventajas: solo las tropas pueden capturar edificios, pero no tienen casi opciones contra los tanques, y los tanques no pueden atacar a los helicópteros"
TIP_3,"Puedes desplegar soldados en el Cuartel General, pero es más barato hacerlo en los Barracones"
TIP_4,"Una unidad pierde todo su AP restante en su turno al capturar una torre"
TIP_5,"Todos los edificios de producción requieren un soldado para mantenerlo - capturarlos te costará un soldado"
TIP_6,"El cuartel general, torres o Aeropuertos producirán efectivo en cada turno"
TIP_7,"El dinero se puede gastar para desplegar unidades y movimientos"
TIP_8,"Utiliza tu dinero sabiamente: un gran ejército será más lento y menos efectivo que un escuadrón pequeño"
TIP_9,"No es buena idea enviar una unidad al campo de batalla sola"
TIP_10,"Mezclar tipos de unidades en los escuadrones te darán una ventaja estratégica"
TIP_11,"No puedes desplegar una unidad cuando el punto de salida está bloqueado y el enemigo tampoco puede bloquear fábricas enemicas con sus unidades"
TIP_12,"Las unidades solo pueden atacar los azulejos adyacentes, por lo que cuando tu objetivo este muy lejos, primero debes mover la unidad más cercana"
TIP_13,"El cuartel general es el edificio más valioso en el juego: si capturas el Cuartel General enemigo, ganarás el juego"
LABEL_WORKSHOP,TALLER
LABEL_MAIN_MENU,MENÚ PRINCIPAL
LABEL_START_TURN,INICIAR TURNO
LABEL_CAMPAIGN,CAMPAÑA
LABEL_SKIRMISH,ESCARAMUZA
LABEL_CONFIRM,CONFIRMAR
LABEL_UNIT_ATTACK,ataque
LABEL_UNIT_HEALTH,salud
LABEL_UNIT_RANGE,alcance
LABEL_BUILDING_HQ,CG
LABEL_BUILDING_BARRACKS,BARRACON
LABEL_BUILDING_FACTORY,FÁBRICA
LABEL_BUILDING_AIRPORT,AEROPUERTO
LABEL_BUILDING_GSM_TOWER,T. GSM
LABEL_REMOTE,REMOTO
LABEL_LOCAL,LOCAL
LABEL_OFF,NO
LABEL_ON,SÍ
LABEL_GAME,JUEGO
LABEL_RESUME,REANUDAR
LABEL_EASY,FÁCIL
LABEL_NORMAL,NORMAL
LABEL_MAPS_CREATED,MAPAS CREADOS
LABEL_COMPLETED,TERMINADO
LABEL_NEXT,SIGUIENTE
LABEL_DELETE_MODE,BORRAR
LABEL_TURNS_CAP:,TURNOS:
LABEL_BACK,> ATRÁS
LABEL_SELECTED_MAP,MAPA SELECCIONADO:
LABEL_TURNS_CAP,TURNOS:
LABEL_PLAY,JUGAR
LABEL_CPU,CPU
LABEL_HUMAN,HUMANO
LABEL_ATTACK,ATAQUE
LABEL_HEALTH_MAX,SALUD / MÁX
LABEL_HEALTH,SALUD
LABEL_ACTION_SLOTS,RANURAS DE ACCIÓN
LABEL_INFANTRY,SOLDADO
LABEL_UNIT_HELI,HELI
LABEL_RANGE,ALCANCE
LABEL_DEPLOY_PRICE,PRECIO DESPLIEGUE
LABEL_DEPLOY,DESPLIEGUE
LABEL_END,FIN
LABEL_TURN,TURNO
LABEL_NEW_TURN,NUEVO TURNO
LABEL_ACTION_POINTS,PUNTOS DE ACCIÓN
LABEL_UNIT,UNIDAD
LABEL_BUILDING,EDIFICIO
