,ja
TIP_HEADER,"ご存知でしたか..."
TIP_1,"各部隊は1回の順番で1回しか攻撃できません"
TIP_2,"部隊には弱点と利点があります - 軍隊だけが建物を獲得することができますが、戦車に対抗するチャンスはほとんどなく、戦車はヘリを攻撃できません"
TIP_3,"司令部に兵士を配備することはできますが、兵舎は安く配備することができます"
TIP_4,"タワーを獲得するとき、部隊は順番の残りのすべてのAPを失います"
TIP_5,"すべての製造した建物は、維持するために兵士が必要です - 獲得すると兵士部隊のコストがかかります"
TIP_6,"司令部と獲得したタワーまたは空港は、それぞれの順番で現金を生み出します"
TIP_7,"現金は、部隊の配備と移動するために使うことができます"
TIP_8,"現金を賢明に使ってください - 大軍は小さな分隊よりも遅くて効果的ではありません"
TIP_9,"部隊を単独で戦場に送ることは決して良い考えではありません"
TIP_10,"分隊で部隊の種類を混合させることは、戦略的な優位をもたらします"
TIP_11,"スポーンポイントがブロックされているときには部隊を配備することはできません。敵もできません - あなたの部隊で敵の工場をブロックしてください"
TIP_12,"部隊は隣接するタイルだけを攻撃することができます - ターゲットが遠くにある場合は、まず部隊を近くに移動します"
TIP_13,"司令部はゲームで最も価値のある建物です - あなたが敵の司令部を獲得すると、ゲームに勝ちます"
LABEL_WORKSHOP,ワークショップ
LABEL_MAIN_MENU,メインメニュー
LABEL_START_TURN,順番を開始
LABEL_CAMPAIGN,遠征
LABEL_SKIRMISH,戦闘
LABEL_CONFIRM,確認
LABEL_UNIT_ATTACK,攻撃
LABEL_UNIT_HEALTH,兵力
LABEL_UNIT_RANGE,範囲
LABEL_BUILDING_HQ,司令部
LABEL_BUILDING_BARRACKS,兵舎
LABEL_BUILDING_FACTORY,工場
LABEL_BUILDING_AIRPORT,空港
LABEL_BUILDING_GSM_TOWER,GSM タワー
LABEL_REMOTE,リモート
LABEL_LOCAL,ローカル
LABEL_OFF,オフ
LABEL_ON,オン
LABEL_GAME,ゲーム
LABEL_RESUME,再開
LABEL_EASY,簡単
LABEL_NORMAL,通常
LABEL_MAPS_CREATED,マップを作成しました
LABEL_COMPLETED,完了
LABEL_NEXT,次
LABEL_DELETE_MODE,削除
LABEL_TURNS_CAP:,順番の獲得:
LABEL_BACK,> 戻る
LABEL_SELECTED_MAP,選択したマップ:
LABEL_TURNS_CAP,順番の獲得:
LABEL_PLAY,プレー
LABEL_CPU,CPU
LABEL_HUMAN,人
LABEL_ATTACK,攻撃
LABEL_HEALTH_MAX,兵力 / 最大
LABEL_HEALTH,兵力
LABEL_ACTION_SLOTS,アクションスロット
LABEL_INFANTRY,歩兵
LABEL_UNIT_HELI,ヘリ
LABEL_RANGE,範囲
LABEL_DEPLOY_PRICE,配備価格
LABEL_DEPLOY,配備
LABEL_END,終了
LABEL_TURN,順番
LABEL_NEW_TURN,新しい順番
LABEL_ACTION_POINTS,アクションポイント
LABEL_UNIT,部隊
LABEL_BUILDING,建物
LABEL_NEXT_TURN_GAIN,次の順番を手に入れる
LABEL_ACTION_POINTS,アクションポイント
LABEL_MAP_NAME,マップ名
LABEL_SELECT_UNIT,部隊を選択
LABEL_PLEASE_WAIT,しばらくお待ちください...
