,pl
TIP_HEADER,Czy wiesz, że...
TIP_1,Each unit can attack only once a turn
TIP_2,Units have own weaknesses and advantages - only troops can capture buildings but they have almost no chance against tanks and tanks can’t attack helis
TIP_3,You can deploy soldiers in HQ but it is cheaper to do so in the barracks
TIP_4,Unit losses all his remaining AP in turn when capturing Tower
TIP_5,All production buildings require a soldier to maintain it - capturing them will cost you a soldier unit
TIP_6,HQ and captured Towers or Airports will produce cash in every turn
TIP_7,Cash can be spend for deploying units and movement
TIP_8,Use your cash wisely - a big army will be slower and less effective than a small squad
TIP_9,It’s never a good idea to send a unit alone to the battlefield
TIP_10,Mixing unit types in squads gives you a strategic advantage
TIP_11,You cannot deploy unit when spawning point is blocked and so do the enemy - block factories with your units
TIP_12,Units can attack only adjacent tiles - so when target is far away you should firstly move your unit
TIP_13,HQ is the most valuable building in game - if you capture enemy HQ you will win the game, losing it means instant defeat
LABEL_WORKSHOP,EDYTOR
LABEL_MAIN_MENU,MENU GŁÓWNE
LABEL_START_TURN,START TURY
LABEL_CAMPAIGN,KAMPANIA
LABEL_SKIRMISH,POTYCZKA
LABEL_CONFIRM,POTWIERDŹ
LABEL_UNIT_ATTACK,ATAK
LABEL_UNIT_HEALTH,ZDROWIE
LABEL_UNIT_RANGE,ZASIĘG
LABEL_BUILDING_HQ,CENTRALA
LABEL_BUILDING_BARRACKS,KOSZARY
LABEL_BUILDING_FACTORY,FABRYKA
LABEL_BUILDING_AIRPORT,LOTNISKO
LABEL_BUILDING_GSM_TOWER,WIEŻA RTV
LABEL_REMOTE,ZDALNE
LABEL_LOCAL,LOKALNE
LABEL_OFF,NIE
LABEL_ON,TAK
LABEL_GAME,GRA
LABEL_RESUME,KONTYNUŁUJ
LABEL_EASY,ŁATWY
LABEL_NORMAL,NORMALNY
LABEL_MAPS_CREATED,STWORZONYCH MAP
LABEL_COMPLETED,ZAKOŃCZONA
LABEL_NEXT,NASTĘPNA
LABEL_DELETE_MODE,USUWANIE
LABEL_TURNS_CAP:,OGRANICZENIE TUR
LABEL_BACK,COFNIJ
LABEL_SELECTED_MAP,WYBRANA MAPA
LABEL_TURNS_CAP,OGRANICZENIE TUR
LABEL_PLAY,GRAJ
LABEL_CPU,KOMPUTER
LABEL_HUMAN,CZŁOWIEK
LABEL_ATTACK,ATTACK
LABEL_HEALTH_MAX,ZDROWIE / MAKSYMALNE
LABEL_HEALTH,ZDROWIE
LABEL_ACTION_SLOTS,SLOTY AKCJI
LABEL_INFANTRY,PIECHOTA
LABEL_UNIT_HELI,ŚMIGŁOWIEC
LABEL_RANGE,ZASIĘG
LABEL_DEPLOY_PRICE,KOSZT
LABEL_DEPLOY,ROZLOKUJ
LABEL_END_TURN,KONIEC TURY
LABEL_TURN,TURA
LABEL_NEW_TURN,NOWA TURA
LABEL_ACTION_POINTS,PUNKTY AKCJI
LABEL_UNIT,JEDNOSTKA
LABEL_BUILDING,BUDYNEK
LABEL_NEXT_TURN_GAIN,ZYSK W NASTĘPNEJ TURZE
LABEL_ACTION_POINTS,PUNKTY AKCJI
LABEL_MAP_NAME,NAZWA MAPY
LABEL_SELECT_UNIT,WYBIERZ JEDNOSTKĘ
LABEL_PLEASE_WAIT,PROSZĘ CZEKAĆ...
LABEL_SOUND_EFFECTS,EFEKTY DZWIĘKOWE
LABEL_MUSIC,MUZYKA
LABEL_CAMERA_SHAKE,WSTRZĄSY KAMERY
LABEL_AUTO_FOLLOW,AUTOMATYCZNE ŚLEDZENIE KAMERY
LABEL_ZOOM_LEVEL,POZIOM PRZYBLIŻENIA
LABEL_BIGGER,BLIŻEJ
LABEL_SMALLER,DALEJ
LABEL_WINDOW,OKNO
LABEL_FULL_SCREEN,PEŁNY EKRAN
LABEL_DIFFICULTY,POZIOM TRUDNOŚCI
LABEL_WINS,WYGRANE
LABEL_SETTINGS,USTAWIENIA
LABEL_BACK,COFNIJ
LABEL_QUIT_GAME,WYJDŹ
LABEL_RUN_DEMO,DEMO
LABEL_SKIRMISH,POTYCZKI
LABEL_MAP EDITOR,EDYTOR MAP
LABEL_CAMPAIGN,KAMPANIA
LABEL_COMPLETED,ZAKOŃCZONE
LABEL_MAPS_CREATED,STWORZONYCH MAP
LABEL_ONLINE,ONLINE
LABEL_MISSION,MISJE
LABEL_BLUE_TEAM,NIEBIESKA DRUŻYNA
LABEL_RED_TEAM,CZERWONA DRUŻYNA
LABEL_START,START
LABEL_MISSION_COMPLETED,MISJA ZAKOŃCZONA SUKCESEM
LABEL_PREVIOUS,POPRZEDNIS
LABEL_NEXT,NASTĘPNA
LABEL_NAME,IMIĘ
LABEL_WORKSHOP_UNITS,JEDNOSTKI
LABEL_WORKSHOP_BUILDINGS,BUDYNKI
LABEL_WORKSHOP_TERRAIN,TEREN
LABEL_WORKSHOP_FILES_MANAGER,MENAŻER PLIKÓW
LABEL_WORKSHOP_PICK_MAP,WYBIERZ MAPĘ
LABEL_WORKSHOP_FILE_SAVED,PLIK ZAPISANY
LABEL_WORKSHOP_TOOLBOX,NARZĘDZIA
LABEL_WORKSHOP_UNDO_BUILD,COFNIJ RUCH
LABEL_WORKSHOP_MOVE_MAP,PRZESUŃ MAPĘ
LABEL_WORKSHOP_BUILD_TERRAIN,BUDUJ TEREN
LABEL_WORKSHOP_SELECTED_TOOL,WYBRANE NAŻĘDZIE
LABEL_WORKSHOP_CREATE,STWÓRZ
LABEL_WORKSHOP_SIZE,WIELKOŚĆ
LABEL_WORKSHOP_CLEAR_LAYERS,WYCZYŚĆ WARSTWY
LABEL_WORKSHOP_EREASE,USUŃ
LABEL_WORKSHOP_PLAIN,TRAWA
LABEL_WORKSHOP_DIRT,PIASEK
LABEL_WORKSHOP_FOREST,LAS
LABEL_WORKSHOP_MOUNTAIN,GÓRY
LABEL_WORKSHOP_RIVER,RZEKA
LABEL_WORKSHOP_BRIDGE,MOST
LABEL_WORKSHOP_CITY,MIASTO
LABEL_WORKSHOP_RUBBLE,ZGLISZCZA
LABEL_WORKSHOP_STATUE,POSĄG
LABEL_WORKSHOP_FENCE,PŁOT
LABEL_WORKSHOP_ROAD#1,ULICA#1
LABEL_WORKSHOP_ROAD#2,ULICA#2
LABEL_WORKSHOP_HQ,CENTRALA
LABEL_WORKSHOP_BARRACKS,KOSZARY
LABEL_WORKSHOP_FACTORY,FABRYKA
LABEL_WORKSHOP_AIRPORT,LOTNISKO
LABEL_WORKSHOP_SPAWN,WYJSCIE
LABEL_WORKSHOP_GSM_TOWER,WIEŻA GSM
LABEL_WORKSHOP_TOWER,WIEŻA
LABEL_WORKSHOP_INFANTRY,PIECHOTA
LABEL_WORKSHOP_TANK,CZOŁG
LABEL_WORKSHOP_HELI,ŚMIGŁOWIEC
MSG_NO_ENOUGH_AP,NO ENOUGH AP
MSG_START_YOUR_TURN_NOW,ROZPOCZNIJ SWOJA TURE!
MSG_EMPTY_DISPLAY,NIC DO WYŚWIETLENIA - ZAZNACZ JEDNOSTKĘ LUB BUDYNEK
MSG_GAME_DESCRIPTION,WOLNA*, OTWARTA, TUROWA STRATEGIA
