,pt
TIP_HEADER,"Sabia que..."
TIP_1,"Cada unidade pode atacar somente uma vez por turno"
TIP_2,"Unidades possuem fraquezas e vantagens - apenas tropas podem capturar construções mas elas não tem chance contra tanques e tanques não podem atacar helicópteros"
TIP_3,"Você pode recrutar soldados in HQ mas é mais barato fazê-los nos quartéis"
TIP_4,"A unit loses all its remaining AP for the turn when capturing a Tower"
TIP_5,"Todas as construções produtivas requerem um soldado para mantê-las - capturá-las irá lhe custar um soldado"
TIP_6,"HQ and captured Towers or Airports will produce cash in every turn"
TIP_7,"Dinheiro pode ser gasto para recrutar unidades e fazer movimentos"
TIP_8,"Use seu dinheiro wisely - um grande exército será mais lento e menos efetivo que um pequeno esquadrão"
TIP_9,"It’s never a good idea to send a unit onto the battlefield alone"
TIP_10,"Mixing unit types in squads gives you a strategic advantage"
TIP_11,"You cannot deploy a unit when the spawning point is blocked and neither can the enemy - block enemy factories with your units"
TIP_12,"Units can attack only adjacent tiles - so when your target is far away you should first move your unit closer"
TIP_13,"HQ is the most valuable building in game - if you capture the enemy HQ you will win the game"
LABEL_WORKSHOP,LOJA
LABEL_MAIN_MENU,MENU PRINCIPAL
LABEL_START_TURN,COMEÇAR
LABEL_CAMPAIGN,CAMPANHA
LABEL_SKIRMISH,CONFLITO
LABEL_CONFIRM,CONFIRMAR
LABEL_UNIT_ATTACK,ataque
LABEL_UNIT_HEALTH,saúde
LABEL_UNIT_RANGE,alcance
LABEL_BUILDING_HQ,HQ
LABEL_BUILDING_BARRACKS,QUARTÉIS
LABEL_BUILDING_FACTORY,FÁBRICA
LABEL_BUILDING_AIRPORT,AEROPORTO
LABEL_BUILDING_GSM_TOWER,TORRE GSM
LABEL_REMOTE,REMOTO
LABEL_LOCAL,LOCAL
LABEL_OFF,OFF
LABEL_ON,ON
LABEL_GAME,JOGO
LABEL_RESUME,CONTINUAR
LABEL_EASY,FÁCIL
LABEL_NORMAL,NORMAL
LABEL_MAPS_CREATED,MAPAS CRIADOS
LABEL_COMPLETED,COMPLETADO
LABEL_NEXT,PRÓXIMO
LABEL_DELETE_MODE,DELETAR
LABEL_TURNS_CAP:,TURNS CAP:
LABEL_BACK,> VOLTAR
LABEL_SELECTED_MAP,MAPA SELECIONADO:
LABEL_TURNS_CAP,TURNS CAP:
LABEL_PLAY,JOGAR
LABEL_CPU,CPU
LABEL_HUMAN,HUMANO
LABEL_ATTACK,ATAQUE
LABEL_HEALTH_MAX,SAÚDE / MAX
LABEL_HEALTH,SAÚDE
LABEL_ACTION_SLOTS,ACTION SLOTS
LABEL_INFANTRY,INFANTARIA
LABEL_UNIT_HELI,HELI
LABEL_RANGE,RANGE
LABEL_DEPLOY_PRICE,DEPLOY PRICE
LABEL_DEPLOY,DEPLOY
LABEL_END,FIM
LABEL_TURN,TURNO
LABEL_NEW_TURN,NOVO TURNO
LABEL_ACTION_POINTS,PONTOS DE AÇÃO
LABEL_UNIT,UNIDADE
LABEL_BUILDING,CONSTRUÇÃO
LABEL_NEXT_TURN_GAIN,NEXT TURN GAIN
LABEL_ACTION_POINTS,PONTOS DE AÇÃO
LABEL_MAP_NAME,NOME DO MAPA
LABEL_SELECT_UNIT,SELECIONAR UNIDADE
LABEL_PLEASE_WAIT,AGUARDE...
LABEL_SOUND_EFFECTS,EFEITOS SONOROS
LABEL_MUSIC,MUSICA
LABEL_CAMERA_SHAKE,BALANÇO DA CÂMERA
LABEL_AUTO_FOLLOW,CAMERA AUTO FOLLOW
LABEL_ZOOM_LEVEL,NÍVEL DE ZOOM
LABEL_BIGGER,MAIOR
LABEL_SMALLER,MENOR
LABEL_WINDOW,JANELA
LABEL_FULL_SCREEN,TELA CHEIA
LABEL_DIFFICULTY,DIFICULDADE
LABEL_WINS,VENCEU
LABEL_SETTINGS,CONFIGURAÇÕES
LABEL_BACK,VOLTAR
LABEL_QUIT_GAME,SAIR DO JOGO
LABEL_RUN_DEMO,DEMO
LABEL_SKIRMISH,CONFLITO
LABEL_MAP EDITOR,EDITOR DE MAPA
LABEL_CAMPAIGN,CAMPANHA
LABEL_COMPLETED,COMPLETO
LABEL_MAPS_CREATED,MAPAS CRIADOS
LABEL_ONLINE,ONLINE
LABEL_MISSION,MISSÃO
LABEL_BLUE_TEAM,TIME AZUL
LABEL_RED_TEAM,TIME VERMELHO
LABEL_START,COMEÇAR
LABEL_MISSION_COMPLETED,MISSION COMPLETED
LABEL_PREVIOUS,ANTERIOR
LABEL_NEXT,PRÓXIMO
LABEL_NAME,NOME
LABEL_WORKSHOP_UNITS,UNIDADES
LABEL_WORKSHOP_BUILDINGS,CONSTRUÇÕES
LABEL_WORKSHOP_TERRAIN,TERRENO
LABEL_WORKSHOP_FILES_MANAGER,GERENCIADOR DE ARQUIVOS
LABEL_WORKSHOP_PICK_MAP,PICK MAP
LABEL_WORKSHOP_FILE_SAVED,ARQUIVO SALVO
LABEL_WORKSHOP_TOOLBOX,CAIXA DE FERRAMENTAS
LABEL_WORKSHOP_UNDO_BUILD,DESFAZER CONSTRUÇÃO
LABEL_WORKSHOP_MOVE_MAP,MOVE MAP
LABEL_WORKSHOP_BUILD_TERRAIN,CRIAR TERRENO
LABEL_WORKSHOP_SELECTED_TOOL,FERRAMENTA SELEC.
LABEL_WORKSHOP_CREATE,CRIAR
LABEL_WORKSHOP_SIZE,TAMANHO
LABEL_WORKSHOP_CLEAR_LAYERS,CELAR LAYERS
LABEL_WORKSHOP_EREASE,EREASE
LABEL_WORKSHOP_PLAIN,PLAIN
LABEL_WORKSHOP_DIRT,TERRA
LABEL_WORKSHOP_FOREST,FLORESTA
LABEL_WORKSHOP_MOUNTAIN,MONTANHA
LABEL_WORKSHOP_RIVER,RIO
LABEL_WORKSHOP_BRIDGE,PONTE
LABEL_WORKSHOP_CITY,CIDADE
LABEL_WORKSHOP_RUBBLE,RUBBLE
LABEL_WORKSHOP_STATUE,ESTÁTUA
LABEL_WORKSHOP_FENCE,CERCA
LABEL_WORKSHOP_ROAD#1,ESTRADA#1
LABEL_WORKSHOP_ROAD#2,ESTRADA#2
LABEL_WORKSHOP_HQ,HQ
LABEL_WORKSHOP_BARRACKS,QUARTÉIS
LABEL_WORKSHOP_FACTORY,FÁBRICA
LABEL_WORKSHOP_AIRPORT,AEROPORTO
LABEL_WORKSHOP_SPAWN,SPAWN
LABEL_WORKSHOP_GSM_TOWER,GSM TOWER
LABEL_WORKSHOP_TOWER,TORRE
LABEL_WORKSHOP_INFANTRY,INFANTARIA
LABEL_WORKSHOP_TANK,TANQUE
LABEL_WORKSHOP_HELI,HELI
LABEL_WORKSHOP_CIVILIAN,CIVILIAN
LABEL_WORKSHOP_CONCRETE,CONCRETE
MSG_NO_ENOUGH_AP,NOT ENOUGH AP
MSG_START_YOUR_TURN_NOW,Start your turn now!
MSG_EMPTY_DISPLAY,&lt; NOTHING TO DISPLAY&#000a;&lt; SELECT UNIT OR BUILDING
MSG_GAME_DESCRIPTION_1,FREE* & OPEN-SOURCE
MSG_GAME_DESCRIPTION_2,TURN-BASED STRATEGY GAME
MSG_FREE_AS_FREEDOM,"* FREE AS FREEDOM, NOT FREE AS IN FREE BEER"
MSG_INDIE_GAME,INDIE GAME&#000a;DESIGN &amp; &#000a;DEVELOP
MSG_WORKSHOP_USE_UNIQUE_NAME,USE UNIQUE NAME
MSG_WORKSHOP_CREATE_NEW_ISLAND,CREATE NEW ISLAND
MSG_WORKSHOP_LOSE_MAP_DATA,VOCÊ PERDERÁ DADOS DO MAPA!
LABEL_GAME_OVER,FIM DE JOGO
LABEL_DOMINATION,DOMINAÇÃO
LABEL_MOVES,MOVIMENTOS
LABEL_DEPLOYED,RECRUTADO
LABEL_ELIMINATED,ELIMINADO
LABEL_BLUE,AZUL
LABEL_RED,VERMELHO
LABEL_TURN,TURNO
LABEL_TIME,TEMPO
LABEL_TOTAL_SCORE,SCORE TOTAL
LABEL_PLAYERS_TIME,PLAYERS TIME
LABEL_MENU,MENU
LABEL_PLAY_AGAIN,JOGAR NOVAMENTE
LABEL_REQUIES_RESTART,MAP RESTART REQUIRED
LABEL_LANGUAGE,IDIOMA
LABEL_OVERSCAN,OVERSCAN
LABEL_GAME_TIME,TEMPO DE JOGO
LABEL_TURNS,TURNOS
LABEL_BLUE_WINS,AZUL VENCEU
LABEL_RED_WINS,VERMELHO VENCEU
LABEL_PLAYING_AS,JOGANDO COMO
LABEL_MAPS,MAPAS
LABEL_PAGE,PÁGINA
LABEL_WORKSHOP_SAVE,SALVAR
LABEL_WORKSHOP_LOAD,CARREGAR
LABEL_MAP_TO_UPLOAD,Mapa para envio
LABEL_PROCEED_QUESTION,"Proceed?"
LABEL_UPLOAD_MAP,Enviar Mapa
LABEL_UPLOAD,Upload
LABEL_CANCEL,Cancelar
TIP_COMPLETE_MAP_FIRST,"Você precisa completar esse mapa primeiro no modo conflito in order to be able to upload it."
LABEL_GOT_IT,"Got it!"
LABEL_ONLINE_MENU,ONLINE MAPS
MSG_ONLINE_MENU_DESC,"DOWNLOAD NEW MAPS OR SHARE YOUR OWN CREATIONS WITH THE WORLD!"
TIP_UPLOADING_WAIT,"Uploading! Please wait."
TIP_UPLOADING_SUCCESS,"Upload successful! Now you can share your new map code with your friends: "
TIP_UPLOADING_FAIL,"Upload failed. Please try again later."
LABEL_DONE,Done
TIP_WELCOME_ONLINE,"Bem-vindo ao ToF Online!"
TIP_NEED_REGISTER,"Before you can start using online options, we need to register your device with our online system."
LABEL_REGISTER,Registrar
LABEL_LATER,"Maybe later"
LABEL_REGISTER_PLAYER,"Register Player"
TIP_REQUESTING_PLAYER_ID,"Requesting Player ID! Please wait."
TIP_REQUESTING_PLAYER_FAIL,"Requesting Player ID failed. Please try again later."
TIP_REQUESTING_PLAYER_SUCCESS,"Requesting Player ID successful. Welcome to ToF Online!"
LABEL_DOWNLOAD_MAP,Baixar Mapa
TIP_INPUT_CODE,"Please input map code"
LABEL_DOWNLOAD,Baixar
TIP_DOWNLOADING_WAIT,"Baixando mapa! Aguarde."
TIP_MAP_DOWNLOAD_SUCCESS,"Map has been downloaded."
TIP_MAP_DOWNLOAD_FAIL,"Could not download a map. Please check if code is correct and try again."
LABEL_PLAY_AGAIN,JOGAR NOVAMENTE
LABEL_VERSION,Versão
TITLE_GAMEPAD_CONFIG,GAMEPAD CONFIGURATION
LABEL_PREVIOUS_UNIT,SELEC. A UNIDADE ANTERIOR
LABEL_NEXT_UNIT,SELEC. A PRÓXIMA UNIDADE
LABEL_SELECTOR_MOVEMENT,MOVE FIELD SELECTOR
LABEL_GAME_MENU_MOVEMENT,NAVIGATE MENU
LABEL_END_TURN,FIM DO SEU TURNO
LABEL_BACK_TO_MENU,ABRIR MENU PRINCIPAL
LABEL_SELECT,PERFORM ACTION
LABEL_DEPLOY_UNIT,COMPRAR NOVA UNIDADE
LABEL_GAMEPAD_INFO,GAMEPAD INFO
LABEL_WORKSHOP_THEME,TEMA DO MAPA
LABEL_SUMMER,VERÃO
LABEL_FALL,OUTONO
LABEL_WINTER,INVERNO
LABEL_WORKSHOP_FAILURE,OPERATION FAILURE
MSG_WORKSHOP_FILE_ERROR_NAME,"Map name may only contain alphanumeric characters and an underscore sign."
MSG_WORKSHOP_FILE_NOT_FOUND,"Map with specified name does not exists."
MSG_WORKSHOP_CHECK_TYPOS,"Please re-check file name"
LABEL_OK,OK
LABEL_NEXT_TURN,FIM DE TURNO
LABEL_CPU_TURN,TURNO DA CPU
LABEL_REFRESHING_MATCHES,REFRESHING MATCHES
TIP_REFRESHING_WAIT,"REFRESHING ONLINE MATCHES LIST. PLEASE WAIT..."
LABEL_CREATE_MATCH,CREATE MATCH
MSG_CONFIRM_CREATE,DO YOU WANT TO HOST A NEW MATCH?
LABEL_PROCEED,PROCEED
LABEL_PICK_SIDE,PICK SIDE
MSG_PICK_SIDE,PICK THE SIDE YOU WANT TO PLAY AS
MSG_SELECTED_MAP,"SELECTED MAP: "
MSG_SELECTED_SIDE,"SELECTED SIDE: "
MSG_READY_TO_CREATE,"CREATE MATCH?"
MSG_CREATING_MATCH_WAIT,"CREATING NEW MATCH. PLEASE WAIT..."
LABEL_FAILURE,"OPERATION FAILURE"
MSG_OPERATION_FAILED,"NETWORK OPERATION FAILED. PLEASE CHECK YOUR INTERNET CONNECTION AND TRY AGAIN."
LABEL_JOIN_MATCH,"JOIN A MATCH"
