,ru
TIP_HEADER,"Знаете ли вы..."
TIP_1,"Любой тип войск атакует лишь раз за ход"
TIP_2,"У каждого типа войск есть свои приемущества и недостатки - только пехота может занимать здания, но они слабы против танков, а танки не могут атаковать вертолеты"
TIP_3,"Ты можешь делать пехоту в штаб-квартире, но они дешевле в казармах"
TIP_4,"Пехота теряет все АР, занимая радиовышку"
TIP_5,"Чтобы захватить любое активное здание, нужно пустить туда пехоту, после захвата он пропадает"
TIP_6,"Штаб-квартира, аэропорт и радиовышка производят ресурс каждый ход"
TIP_7,"Ресурс может быть потрачен на создание и передвижение войск"
TIP_8,"Расходуй ресурс мудро - большая армия будет медленней и малоэффективнее небольшого отряда"
TIP_9,"Один в поле не воин - никогда не выпускай юнита на поле битвы одного"
TIP_10,"Смешивание разных типов войск дает боевое приемущество"
TIP_11,"Ты не можешь поставить юнита, если зона вывода занята; пользуйся этим - блокируй вражеские фабрики"
TIP_12,"Юнит может атаковать только прилежащие тайлы - если враг далеко, сначала нужно к нему подойти"
TIP_13,"Штаб-квартира – самое главное, если ты захватишь вражескую ШК, ты победишь"
LABEL_WORKSHOP,РЕДАКТОР
LABEL_MAIN_MENU,ГЛАВНОЕ МЕНЮ
LABEL_START_TURN,НАЧАТЬ ХОД
LABEL_CAMPAIGN,КАМПАНИЯ
LABEL_SKIRMISH,СОСТЯЗАНИЕ
LABEL_CONFIRM,ПОДТВЕРДИТЬ
LABEL_UNIT_ATTACK,атака
LABEL_UNIT_HEALTH,здоровье
LABEL_UNIT_RANGE,дальность хода
LABEL_BUILDING_HQ,ШК
LABEL_BUILDING_BARRACKS,КАЗАРМА
LABEL_BUILDING_FACTORY,ЗАВОД
LABEL_BUILDING_AIRPORT,АЭРОПОРТ
LABEL_BUILDING_GSM_TOWER,РАДИОВЫШКА
LABEL_REMOTE,ОТДАЛЕННЫЙ
LABEL_LOCAL,ЛОКАЛЬНЫЙ
LABEL_OFF,ВЫКЛ
LABEL_ON,ВКЛ
LABEL_GAME,ИГРА
LABEL_RESUME,ПРОДОЛЖИТЬ
LABEL_EASY,ЛЕГКО
LABEL_NORMAL,СРЕДНЕ
LABEL_MAPS_CREATED,СДЕЛАНО КАРТ
LABEL_COMPLETED,ПРОЙДЕНО
LABEL_NEXT,ДАЛЕЕ
LABEL_DELETE_MODE,УДАЛИТЬ
LABEL_TURNS_CAP:,МАКС КОЛ-ВО ХОДОВ:
LABEL_BACK,> НАЗАД
LABEL_SELECTED_MAP,КАРТА:
LABEL_TURNS_CAP,МАКС КОЛ-ВО ХОДОВ:
LABEL_PLAY,ИГРАТЬ
