"","en"
"TIP_HEADER","Did you know that...","Did you know that..."
"TIP_1","Each unit can attack only once a turn","Each unit can attack only once a turn"
"TIP_2","Units have weaknesses and advantages - only troops can capture buildings but they have almost no chance against tanks and tanks can’t attack helis","Units have weaknesses and advantages - only troops can capture buildings but they have almost no chance against tanks and tanks can’t attack helis"
"TIP_3","You can deploy soldiers in HQ but it is cheaper to do so in the barracks","You can deploy soldiers in HQ but it is cheaper to do so in the barracks"
"TIP_4","A unit loses all its remaining AP for the turn when capturing a Tower","A unit loses all its remaining AP for the turn when capturing a Tower"
"TIP_5","All production buildings require a soldier to maintain it - capturing them will cost you a soldier unit","All production buildings require a soldier to maintain it - capturing them will cost you a soldier unit"
"TIP_6","HQ and captured Towers or Airports will produce cash in every turn","HQ and captured Towers or Airports will produce cash in every turn"
"TIP_7","Cash can be spent for deploying units and movement","Cash can be spent for deploying units and movement"
"TIP_8","Use your cash wisely - a big army will be slower and less effective than a small squad","Use your cash wisely - a big army will be slower and less effective than a small squad"
"TIP_9","It’s never a good idea to send a unit onto the battlefield alone","It’s never a good idea to send a unit onto the battlefield alone"
"TIP_10","Mixing unit types in squads gives you a strategic advantage","Mixing unit types in squads gives you a strategic advantage"
"TIP_11","You cannot deploy a unit when the spawning point is blocked and neither can the enemy - block enemy factories with your units","You cannot deploy a unit when the spawning point is blocked and neither can the enemy - block enemy factories with your units"
"TIP_12","Units can attack only adjacent tiles - so when your target is far away you should first move your unit closer","Units can attack only adjacent tiles - so when your target is far away you should first move your unit closer"
"TIP_13","HQ is the most valuable building in game - if you capture the enemy HQ you will win the game","HQ is the most valuable building in game - if you capture the enemy HQ you will win the game"
"LABEL_WORKSHOP","WORKSHOP","WORKSHOP"
"LABEL_MAIN_MENU","MAIN MENU","MAIN MENU"
"LABEL_START_TURN","START TURN","START TURN"
"LABEL_CAMPAIGN","CAMPAIGN","CAMPAIGN"
"LABEL_SKIRMISH","SKIRMISH","SKIRMISH"
"LABEL_CONFIRM","CONFIRM","CONFIRM"
"LABEL_UNIT_ATTACK","attack","attack"
"LABEL_UNIT_HEALTH","health","health"
"LABEL_UNIT_RANGE","range","range"
"LABEL_BUILDING_HQ","HQ","HQ"
"LABEL_BUILDING_BARRACKS","BARRACKS","BARRACKS"
"LABEL_BUILDING_FACTORY","FACTORY","FACTORY"
"LABEL_BUILDING_AIRPORT","AIRPORT","AIRPORT"
"LABEL_BUILDING_GSM_TOWER","GSM TOWER","GSM TOWER"
"LABEL_REMOTE","REMOTE","REMOTE"
"LABEL_LOCAL","LOCAL","LOCAL"
"LABEL_OFF","OFF","OFF"
"LABEL_ON","ON","ON"
"LABEL_GAME","GAME","GAME"
"LABEL_RESUME","RESUME","RESUME"
"LABEL_EASY","EASY","EASY"
"LABEL_NORMAL","NORMAL","NORMAL"
"LABEL_MAPS_CREATED","MAPS CREATED","MAPS CREATED"
"LABEL_COMPLETED","COMPLETED","COMPLETED"
"LABEL_NEXT","NEXT","NEXT"
"LABEL_DELETE_MODE","DELETE","DELETE"
"LABEL_TURNS_CAP:","TURNS CAP:","TURNS CAP:"
"LABEL_BACK","> BACK","> BACK"
"LABEL_SELECTED_MAP","SELECTED MAP:","SELECTED MAP:"
"LABEL_TURNS_CAP","TURNS CAP:","TURNS CAP:"
"LABEL_PLAY","PLAY","PLAY"
"LABEL_CPU","CPU","CPU"
"LABEL_HUMAN","HUMAN","HUMAN"
"LABEL_ATTACK","ATTACK","ATTACK"
"LABEL_HEALTH_MAX","HEALTH / MAX","HEALTH / MAX"
"LABEL_HEALTH","HEALTH","HEALTH"
